,group,kval,rhoval,proportion_per_capita,proportion_gross,method,baseline_1,baseline_2
0,amateurs,9,1.25,0.0028297843295869434,0.3395741195504332,Real influence,0.007518796992481203,0.4306558073107654
0,experts,9,1.5,0.00611496472378058,0.08560950613292813,Potential influence,0.007518796992481203,
0,amateurs,9,1.5,0.007619920782225597,0.9143904938670717,Potential influence,0.007518796992481203,
0,experts,9,1.5,0.046455373860457436,0.6503752340464041,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,9,1.5,0.002913539716279967,0.34962476595359604,Real influence,0.007518796992481203,0.4306558073107654
0,experts,11,0,0.007805307455308319,0.10927430437431647,Potential influence,0.007518796992481203,
0,amateurs,11,0,0.00742271413021403,0.8907256956256836,Potential influence,0.007518796992481203,
0,experts,11,0,0.04703995651762878,0.658559391246803,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,11,0,0.0028453384062766414,0.341440608753197,Real influence,0.007518796992481203,0.4306558073107654
0,experts,11,0.25,0.007542557146932627,0.10559580005705678,Potential influence,0.007518796992481203,
0,amateurs,11,0.25,0.007453368332857859,0.8944041999429431,Potential influence,0.007518796992481203,
0,experts,11,0.25,0.04729725421782718,0.6621615590495805,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,11,0.25,0.0028153203412534956,0.3378384409504195,Real influence,0.007518796992481203,0.4306558073107654
0,experts,11,0.5,0.007326297505963112,0.10256816508348357,Potential influence,0.007518796992481203,
0,amateurs,11,0.5,0.007478598624304303,0.8974318349165163,Potential influence,0.007518796992481203,
0,experts,11,0.5,0.04710181697907989,0.6594254377071185,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,11,0.5,0.002838121352440679,0.34057456229288147,Real influence,0.007518796992481203,0.4306558073107654
0,experts,11,0.75,0.007119121569664711,0.09966770197530596,Potential influence,0.007518796992481203,
0,amateurs,11,0.75,0.007502769150205785,0.9003322980246942,Potential influence,0.007518796992481203,
0,experts,11,0.75,0.04682524845291432,0.6555534783408005,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,11,0.75,0.002870387680493329,0.3444465216591995,Real influence,0.007518796992481203,0.4306558073107654
0,experts,11,1,0.006920245524022896,0.09688343733632054,Potential influence,0.007518796992481203,
0,amateurs,11,1,0.007525971355530662,0.9031165626636795,Potential influence,0.007518796992481203,
0,experts,11,1,0.04645602388629157,0.650384334408082,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,11,1,0.0029134638799326496,0.3496156655919179,Real influence,0.007518796992481203,0.4306558073107654
0,experts,11,1.25,0.006729372575728093,0.0942112160601933,Potential influence,0.007518796992481203,
0,amateurs,11,1.25,0.007548239866165055,0.9057887839398066,Potential influence,0.007518796992481203,
0,experts,11,1.25,0.04598874301014559,0.6438424021420383,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,11,1.25,0.0029679799821496827,0.3561575978579619,Real influence,0.007518796992481203,0.4306558073107654
0,experts,11,1.5,0.006546532748534289,0.09165145847948004,Potential influence,0.007518796992481203,
0,amateurs,11,1.5,0.007569571179337667,0.90834854152052,Potential influence,0.007518796992481203,
0,experts,11,1.5,0.04542354085502026,0.6359295719702837,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,11,1.5,0.003033920233580969,0.3640704280297163,Real influence,0.007518796992481203,0.4306558073107654
0,experts,13,0,0.008401648421548056,0.1176230779016728,Potential influence,0.007518796992481203,
0,amateurs,13,0,0.007353141017486059,0.8823769220983271,Potential influence,0.007518796992481203,
0,experts,13,0,0.04515212318635092,0.6321297246089129,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,13,0,0.0030655856282590585,0.367870275391087,Real influence,0.007518796992481203,0.4306558073107654
0,experts,13,0.25,0.008129422851701859,0.11381191992382603,Potential influence,0.007518796992481203,
0,amateurs,13,0.25,0.007384900667301449,0.8861880800761739,Potential influence,0.007518796992481203,
0,experts,13,0.25,0.04581765765242213,0.6414472071339098,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,13,0.25,0.0029879399405507525,0.3585527928660903,Real influence,0.007518796992481203,0.4306558073107654
0,experts,13,0.5,0.007899508787594166,0.11059312302631832,Potential influence,0.007518796992481203,
0,amateurs,13,0.5,0.007411723974780681,0.8894068769736817,Potential influence,0.007518796992481203,
0,experts,13,0.5,0.04576616679780014,0.640726335169202,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,13,0.5,0.0029939472069233173,0.3592736648307981,Real influence,0.007518796992481203,0.4306558073107654
0,experts,13,0.75,0.0076790143917256,0.1075062014841584,Potential influence,0.007518796992481203,
0,amateurs,13,0.75,0.0074374483209653465,0.8924937985158415,Potential influence,0.007518796992481203,
0,experts,13,0.75,0.04562760429865922,0.6387864601812291,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,13,0.75,0.003010112831823091,0.3612135398187709,Real influence,0.007518796992481203,0.4306558073107654
0,experts,13,1,0.007466845306529674,0.10453583429141543,Potential influence,0.007518796992481203,
0,amateurs,13,1,0.007462201380904873,0.8954641657085847,Potential influence,0.007518796992481203,
0,experts,13,1,0.0453890393640825,0.635446551097155,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,13,1,0.0030379454075237077,0.3645534489028449,Real influence,0.007518796992481203,0.4306558073107654
0,experts,13,1.25,0.007262521416730103,0.10167529983422144,Potential influence,0.007518796992481203,
0,amateurs,13,1.25,0.007486039168048156,0.8983247001657787,Potential influence,0.007518796992481203,
0,experts,13,1.25,0.04504393112685933,0.6306150357760306,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,13,1.25,0.0030782080351997444,0.3693849642239693,Real influence,0.007518796992481203,0.4306558073107654
0,experts,13,1.5,0.007065966667434208,0.09892353334407891,Potential influence,0.007518796992481203,
0,amateurs,13,1.5,0.007508970555466009,0.9010764666559211,Potential influence,0.007518796992481203,
0,experts,13,1.5,0.044591634683952774,0.6242828855753388,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,13,1.5,0.003130975953538844,0.37571711442466127,Real influence,0.007518796992481203,0.4306558073107654
0,experts,17,0,0.010199730221225906,0.1427962230971627,Potential influence,0.007518796992481203,
0,amateurs,17,0,0.007143364807523644,0.8572037769028372,Potential influence,0.007518796992481203,
0,experts,17,0,0.042752124859400616,0.5985297480316086,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,17,0,0.003345585433069927,0.40147025196839126,Real influence,0.007518796992481203,0.4306558073107654
0,experts,17,0.25,0.009857051120052352,0.13799871568073294,Potential influence,0.007518796992481203,
0,amateurs,17,0.25,0.007183344035993894,0.8620012843192673,Potential influence,0.007518796992481203,
0,experts,17,0.25,0.04408140286019703,0.6171396400427585,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,17,0.25,0.0031905029996436795,0.38286035995724155,Real influence,0.007518796992481203,0.4306558073107654
0,experts,17,0.5,0.00956023686956803,0.13384331617395243,Potential influence,0.007518796992481203,
0,amateurs,17,0.5,0.00721797236521706,0.8661566838260473,Potential influence,0.007518796992481203,
0,experts,17,0.5,0.044205562871244296,0.6188778801974202,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,17,0.5,0.003176017665021499,0.3811221198025799,Real influence,0.007518796992481203,0.4306558073107654
0,experts,17,0.75,0.009275661605938552,0.12985926248313973,Potential influence,0.007518796992481203,
0,amateurs,17,0.75,0.007251172812640502,0.8701407375168603,Potential influence,0.007518796992481203,
0,experts,17,0.75,0.04423186116043776,0.6192460562461286,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,17,0.75,0.0031729495312822617,0.3807539437538714,Real influence,0.007518796992481203,0.4306558073107654
0,experts,17,1,0.009001534307441607,0.1260214803041825,Potential influence,0.007518796992481203,
0,amateurs,17,1,0.00728315433079848,0.8739785196958175,Potential influence,0.007518796992481203,
