,e_a,mean_corr,disp_corr,ratings,influence,bang_for_buck
95,amateur,0.2416674354391648,0.4214191524700448,90,0.003073054001291984,3.414504445879982e-05
96,amateur,0.2474729680071249,0.3439282244788585,108,0.0034887590114586176,3.2303324180172383e-05
97,amateur,0.1080371832681392,0.3202245046392701,54,0.0011406375328437603,2.1122917274884452e-05
98,amateur,0.4036147459486222,0.3088909648941817,56,0.0019930696244668165,3.559052900833601e-05
99,amateur,0.3321469370298182,0.3484466435046549,53,0.0015803142253839396,2.981724953554603e-05
100,amateur,0.2354354387042943,0.3193589998887016,63,0.0017578308186514907,2.7902076486531598e-05
101,amateur,0.2928494590100298,0.3136722268399676,71,0.0022578909670680604,3.180128122631071e-05
102,amateur,0.2170043302028655,0.3952307069833385,62,0.0016721842072874894,2.697071302076596e-05
103,amateur,0.1063404904143013,0.3462663659997465,114,0.0026627879357902524,2.335778891044081e-05
104,amateur,0.2820000678486124,0.3317194558188269,136,0.0046363096534942265,3.4090512158045785e-05
105,amateur,0.3183834437995783,0.3305893496406702,61,0.0019756749349151073,3.2388113687132905e-05
106,amateur,0.3275898265548936,0.3321086243936978,86,0.0027951559082778628,3.250181288695189e-05
107,amateur,0.2419977926133715,0.3274135073172184,130,0.003955220690470327,3.0424774542079442e-05
108,amateur,0.0724987249068023,0.3503044061646899,57,0.0012820283500182825,2.249172543891724e-05
109,amateur,0.3781352618425995,0.3256408901045499,53,0.0022671971402039937,4.2777304532150826e-05
110,amateur,0.3032735252398666,0.3739087789049018,77,0.0026595072646692186,3.453905538531453e-05
111,amateur,0.2832509077287142,0.3353354782532491,79,0.002483837937253915,3.144098654751791e-05
112,amateur,0.2565444794486304,0.2732894081397783,101,0.0028097793697658183,2.7819597720453647e-05
113,amateur,0.1091045551845427,0.3547700465588553,80,0.00172931202449864,2.1616400306233e-05
114,amateur,0.1471825370010893,0.357572329771641,64,0.0014995297016870144,2.34301515888596e-05
115,amateur,0.2617808792305288,0.3299776185558483,64,0.001854222117371593,2.897222058393114e-05
116,amateur,0.4251446238741415,0.3288528775770354,87,0.00392378839931127,4.5101016084037586e-05
117,amateur,0.1653399375282215,0.3669758743436992,96,0.002655462925711303,2.7661072142826074e-05
118,amateur,0.1692271665672494,0.3844079189393941,74,0.001856210477361777,2.508392536975374e-05
119,amateur,0.2959972205100578,0.3605651477245356,57,0.0017548262487289009,3.078642541629651e-05
120,amateur,0.3577120961276915,0.3283466167658889,51,0.0015178692595547258,2.976214234421031e-05
121,amateur,0.3878543431338841,0.2788719376423792,54,0.0017837214880214547,3.303187940780472e-05
122,amateur,0.3473771651961881,0.3962357341167203,71,0.002501135030328324,3.5227253948286255e-05
123,amateur,0.2435343007201748,0.4223579877573969,70,0.002278565244744044,3.2550932067772056e-05
124,amateur,0.487261238132381,0.2448546961924486,96,0.004361946563921424,4.5436943374181497e-05
125,amateur,0.3759020604562601,0.3560438289940053,78,0.0029320854520084303,3.759083912831321e-05
126,amateur,0.5192824793230031,0.2997736963260974,61,0.003008557492194947,4.932061462614667e-05
127,amateur,0.1813784700200894,0.3607992658694464,69,0.0018281793373323748,2.6495352714961953e-05
128,amateur,0.3443897942465089,0.3208904158696951,94,0.0035573295571278713,3.784393145880714e-05
129,amateur,0.361740879423016,0.3285242636624429,81,0.0032487451175064372,4.010796441365972e-05
130,amateur,0.3617194578898151,0.3748943823997105,51,0.001717543041995363,3.367731454892868e-05
131,amateur,0.2042436049815238,0.4094159536345474,54,0.0014002713207861713,2.5930950384929098e-05
132,amateur,0.2455033193363779,0.3099845010397388,56,0.0016333805406573518,2.916750965459557e-05
133,amateur,0.2564397232222699,0.3114359943789089,57,0.0017174632651477575,3.0130934476276448e-05
