,group,kval,rhoval,Hi,method,baseline_1,baseline_2,IHi
0,amateurs,5,0.25,0.2972328199131919,Real homophily,0.8947368421052632,0.42859472897987466,-5.726485866545166
0,experts,5,0.25,0.37963937876098586,Potential homophily,0.09774436090225563,,
0,amateurs,5,0.25,0.9567710739893863,Potential homophily,0.8947368421052632,,0.5862374224698403
0,experts,5,0.5,0.8782169976085298,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,5,0.5,0.3102554911234893,Real homophily,0.8947368421052632,0.42859472897987466,-5.6018402992466045
0,experts,5,0.5,0.37649141279728204,Potential homophily,0.09774436090225563,,
0,amateurs,5,0.5,0.958171688094387,Potential homophily,0.8947368421052632,,0.5996433003319899
0,experts,5,0.75,0.8774851908180239,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,5,0.75,0.3240470030900429,Real homophily,0.8947368421052632,0.42859472897987466,-5.469835827566733
0,experts,5,0.75,0.37388878646169077,Potential homophily,0.09774436090225563,,
0,amateurs,5,0.75,0.9594195835944246,Potential homophily,0.8947368421052632,,0.6115874429752066
0,experts,5,1,0.8766829498542383,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,5,1,0.3386092536723621,Real homophily,0.8947368421052632,0.42859472897987466,-5.3304542862788225
0,experts,5,1,0.37165909023865995,Potential homophily,0.09774436090225563,,
0,amateurs,5,1,0.9605352144686875,Potential homophily,0.8947368421052632,,0.6222656242002945
0,experts,5,1.25,0.8758095528554137,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,5,1.25,0.353913578531495,Real homophily,0.8947368421052632,0.42859472897987466,-5.183970034055693
0,experts,5,1.25,0.3697014731913044,Potential homophily,0.09774436090225563,,
0,amateurs,5,1.25,0.9615329941237708,Potential homophily,0.8947368421052632,,0.631815800898949
0,experts,5,1.5,0.8748642141446563,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,5,1.5,0.36989806739885595,Real homophily,0.8947368421052632,0.42859472897987466,-5.030975640610952
0,experts,5,1.5,0.36795017178340744,Potential homophily,0.09774436090225563,,
0,amateurs,5,1.5,0.9624238242574288,Potential homophily,0.8947368421052632,,0.6403423178925325
0,experts,7,0,0.8218469013531177,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,7,0,0.2872538624278576,Real homophily,0.8947368421052632,0.42859472897987466,-5.821998745333365
0,experts,7,0,0.405944724895329,Potential homophily,0.09774436090225563,,
0,amateurs,7,0,0.9473390282923506,Potential homophily,0.8947368421052632,,0.4959592707982129
0,experts,7,0.25,0.8255744094743674,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,7,0.25,0.2978375942333446,Real homophily,0.8947368421052632,0.42859472897987466,-5.72069731233799
0,experts,7,0.25,0.4010476132396215,Potential homophily,0.09774436090225563,,
0,amateurs,7,0.25,0.9495021653439506,Potential homophily,0.8947368421052632,,0.5166635825778128
0,experts,7,0.5,0.8284436939240363,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,7,0.5,0.3079583054870225,Real homophily,0.8947368421052632,0.42859472897987466,-5.623827647481358
0,experts,7,0.5,0.39735853448874003,Potential homophily,0.09774436090225563,,
0,amateurs,7,0.5,0.9512183089282632,Potential homophily,0.8947368421052632,,0.5330895283133762
0,experts,7,0.75,0.8308685322752117,Real homophily,0.09774436090225563,0.5509913756327132,
